Google Category,Loopla Category
,
,
/Adult,/Other/Other
,
,
/Hobbies & Leisure,/Recreation/Hobbies
/Hobbies & Leisure/Clubs & Organizations,"/Recreation/Organizations, /Recreation/Clubs"
/Hobbies & Leisure/Clubs & Organizations/Youth Organizations & Resources,/Recreation/Organizations
/Hobbies & Leisure/Crafts,/Recreation/Crafts
/Hobbies & Leisure/Crafts/Fiber & Textile Arts,/Recreation/Crafts
/Hobbies & Leisure/Merit Prizes & Contests,/Recreation/Contests
/Hobbies & Leisure/Outdoors,/Recreation/Outdoors
/Hobbies & Leisure/Outdoors/Fishing,/Recreation/Fishing
/Hobbies & Leisure/Outdoors/Hiking & Camping,"/Recreation/Hiking, /Recreation/Camping"
/Hobbies & Leisure/Paintball,/Recreation/Paintball
/Hobbies & Leisure/Radio Control & Modeling,/Recreation/Hobbies
/Hobbies & Leisure/Radio Control & Modeling/Model Trains & Railroads,/Recreation/Hobbies
/Hobbies & Leisure/Special Occasions,/Events
/Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events,"/Events/Holidays, /Events/Seasonal"
/Hobbies & Leisure/Special Occasions/Weddings,/Events/Weddings
/Hobbies & Leisure/Water Activities,/Recreation/Water Activities
/Hobbies & Leisure/Water Activities/Boating,/Recreation/Boating
/Hobbies & Leisure/Water Activities/Surf & Swim,"/Recreation/Swimming, /Recreation/Surfing"
,
,
/Arts & Entertainment,/Recreation
/Arts & Entertainment/Celebrities & Entertainment News,/Other/News
/Arts & Entertainment/Comics & Animation,"/Recreation/Comics, /Recreation/Animation"
/Arts & Entertainment/Comics & Animation/Anime & Manga,/Recreation/Anime & Manga
/Arts & Entertainment/Comics & Animation/Cartoons,/Recreation/Cartoons
/Arts & Entertainment/Comics & Animation/Comics,/Recreation/Comics
/Arts & Entertainment/Entertainment Industry,/Work/Entertainment
/Arts & Entertainment/Entertainment Industry/Film & TV Industry,/Work/Film & TV
/Arts & Entertainment/Entertainment Industry/Recording Industry,/Work/Music
/Arts & Entertainment/Events & Listings,/Events
"/Arts & Entertainment/Events & Listings/Bars, Clubs & Nightlife","/Events, /Events/Music"
/Arts & Entertainment/Events & Listings/Concerts & Music Festivals,/Events/Music
/Arts & Entertainment/Events & Listings/Expos & Conventions,/Events
/Arts & Entertainment/Events & Listings/Film Festivals,/Events/Movies
/Arts & Entertainment/Events & Listings/Movie Listings & Theater Showtimes,/Events/Movies
/Arts & Entertainment/Fun & Trivia,/Recreation/Trivia
/Arts & Entertainment/Fun & Trivia/Flash-Based Entertainment,/Recreation/Trivia
/Arts & Entertainment/Fun & Trivia/Fun Tests & Silly Surveys,/Recreation/Trivia
/Arts & Entertainment/Humor,/Recreation/Humor
/Arts & Entertainment/Humor/Funny Pictures & Videos,/Recreation/Humor
/Arts & Entertainment/Humor/Political Humor,/Recreation/Humor
/Arts & Entertainment/Movies,/Recreation/Movies
/Arts & Entertainment/Music & Audio,/Recreation/Music
/Arts & Entertainment/Music & Audio/CD & Audio Shopping,/Products/CDs
/Arts & Entertainment/Music & Audio/Classical Music,/Recreation/Classical Music
/Arts & Entertainment/Music & Audio/Country Music,/Recreation/Country Music
